source_order,section,grade,textbook,lesson,keyword,collocation,meaning_ko,example_sentence,type,difficulty,usefulness,note
1,공통영어1,1,Common English 1,1,enjoy,enjoy doing,~하는 것을 즐기다,I enjoy singing.,verb+gerund,basic,speaking,좋아하는 것 표현
2,공통영어1,1,Common English 1,1,think,be thinking of doing,~할 생각이다,I’m thinking of joining the school choir.,be+V-ing+of,basic,speaking,의도 표현
3,공통영어1,1,Common English 1,1,share,share similar interests,비슷한 관심사를 공유하다,It’s fun to spend time with those who share similar interests.,verb+noun,basic,speaking,관심사 표현
4,공통영어1,1,Common English 1,1,find,find out,알아내다,I’ll find out what I like to do.,phrasal verb,basic,reading,빈출 구동사
5,공통영어1,1,Common English 1,1,flow,flow freely,자유롭게 흘러가다,It allows your thoughts to flow freely.,verb+adverb,mid,reading,추상명사와 결합
6,공통영어1,1,Common English 1,1,inner,inner voice,내면의 목소리,Free writing aids in listening to your inner voice.,adj+noun,mid,reading,심리·자기이해
7,공통영어1,1,Common English 1,1,write,write freely and honestly,자유롭고 솔직하게 쓰다,It is important for you to write freely and honestly.,verb+adverbs,basic,writing,쓰기 활동
8,공통영어1,1,Common English 1,1,feel,feel lost,길을 잃은 듯하다; 혼란스럽다,"At that time, I felt lost.",verb+adj,mid,reading,감정 표현
9,공통영어1,1,Common English 1,1,relieve,relieve emotional tension,정서적 긴장을 완화하다,Writing helped relieve my emotional tension.,verb+noun,high,reading,독해 핵심 chunk
10,공통영어1,1,Common English 1,1,start,start by doing,~하는 것으로 시작하다,I normally start by writing about today’s tasks.,verb+by+gerund,mid,writing,절차 설명
11,공통영어1,1,Common English 1,1,give up,give up doing,~하는 것을 포기하다,Lilly would not give up studying engineering easily.,phrasal verb+gerund,mid,reading,구동사
12,공통영어1,1,Common English 1,1,keep,keep track of,~을 계속 기록하다,Use an app that keeps track of your progress.,verb+noun+prep,high,reading,앱·학습 관리
13,공통영어1,1,Common English 1,1,make,make a promise,약속하다,I made a promise to myself.,verb+noun,basic,writing,일기 표현
14,공통영어1,1,Common English 1,1,skip,skip breakfast,아침을 거르다,I would never skip breakfast again.,verb+noun,basic,speaking,생활 습관
15,공통영어1,1,Common English 1,1,stick,stick to a promise,약속을 지키다,I decided to stick to my promise.,verb+prep+noun,mid,writing,목표 실천
16,공통영어1,1,Common English 1,1,make,make breakfast a priority,아침 식사를 우선순위로 삼다,I have decided to make breakfast a priority.,verb+noun+noun,high,writing,문장 확장
17,공통영어1,1,Common English 1,1,look forward,look forward to doing,~하기를 기대하다,I am looking forward to seeing the positive impact.,verb phrase+gerund,mid,speaking,기대 표현
18,공통영어1,1,Common English 1,1,track,track a routine,루틴을 추적하다,What new routine do you want to track?,verb+noun,basic,project,브이로그 프로젝트
19,공통영어1,1,Common English 1,1,upload,upload it on social media,소셜미디어에 업로드하다,Create your group’s vlog and upload it on your school’s online social media.,verb+prep+noun,basic,project,디지털 활동
20,공통영어1,1,Common English 1,1,make,make it stick,습관으로 굳히다,Create a routine tracker and make it stick.,verb+pronoun+verb,high,reading,관용적 표현
21,공통영어1,1,Common English 1,2,communicate,communicate with each other,서로 의사소통하다,How do elephants communicate with each other?,verb+prep,basic,speaking,상호작용
22,공통영어1,1,Common English 1,2,communicate,communicate through touch,접촉을 통해 의사소통하다,Elephants communicate through touch.,verb+prep+noun,mid,reading,전치사 chunk
23,공통영어1,1,Common English 1,2,share,share feelings,감정을 공유하다,They share their feelings by touching each other’s bodies.,verb+noun,basic,speaking,동물 의사소통
24,공통영어1,1,Common English 1,2,express,express emotions,감정을 표현하다,Elephants express their emotions towards each other.,verb+noun,mid,reading,빈출 표현
25,공통영어1,1,Common English 1,2,hunt,hunt seals,바다표범을 사냥하다,Killer whales often hunt seals.,verb+noun,basic,reading,동물 지문
26,공통영어1,1,Common English 1,2,work,work together,함께 일하다; 협력하다,Killer whales hunt seals by working together.,verb+adverb,basic,speaking,협동 표현
27,공통영어1,1,Common English 1,2,break,break up the ice,얼음을 깨뜨리다,They work together to break up the ice.,phrasal verb+noun,mid,reading,동작 chunk
28,공통영어1,1,Common English 1,2,locate,locate prey,먹이를 찾아내다,I’m curious about how they locate their prey.,verb+noun,mid,reading,동물 생태
29,공통영어1,1,Common English 1,2,maintain,maintain body temperature,체온을 유지하다,Bees maintain their body temperature.,verb+noun,high,reading,과학 지문
30,공통영어1,1,Common English 1,2,detect,detect predators,포식자를 감지하다,Rabbits can detect predators from any direction.,verb+noun,mid,reading,과학 지문
31,공통영어1,1,Common English 1,2,turn,turn their heads,고개를 돌리다,They can see nearly 360 degrees without turning their heads.,verb+noun,basic,reading,신체 동작
32,공통영어1,1,Common English 1,2,treat,treat them with kindness,친절하게 대하다,We should treat animals with kindness.,verb+noun+prep,mid,writing,가치 판단
33,공통영어1,1,Common English 1,2,appreciate,appreciate unique qualities,고유한 특성을 인정하다,We should appreciate their unique qualities and abilities.,verb+noun,high,writing,의견 표현
34,공통영어1,1,Common English 1,2,avoid,avoid detection,감지를 피하다,Octopuses camouflage themselves to avoid detection.,verb+noun,mid,reading,생존 전략
35,공통영어1,1,Common English 1,2,apply,apply knowledge,지식을 적용하다,They apply knowledge of surrounding animals to survive.,verb+noun,high,reading,학술 표현
36,공통영어1,1,Common English 1,2,create,create walls,벽을 만들다,They use stones to create walls.,verb+noun,basic,reading,도구 사용
