grade,day,prefix,meaning,word,word_meaning,example_sentence,root_family,difficulty,quiz_question,quiz_answer,app_tab,book_order,day_label,section_order_in_day,prefix_meaning,etymology_note,example_korean,related_words
1,1,pre-,"미리, 이전에(before)",preserve,"보존하다, 보호하다",Salt was used to preserve meat.,preserve|preservation|preservative,low,What does preserve mean?,"보존하다, 보호하다",etymology,1,DAY 01,1,"미리, 이전에(before)",pre(=before) + serve(=keep safe) -> 미리 안전하게 유지하다,소금은 고기를 보존하는 데 사용되었다.,
1,1,pre-,"미리, 이전에(before)",previous,"이전의, 앞의",No previous experience is necessary for the job.,previous|previously,low,What does previous mean?,"이전의, 앞의",etymology,2,DAY 01,1,"미리, 이전에(before)",pre(=before) + vi(=road) + ous(접사) -> 길에 앞에 서는,그 일을 위해 이전의 경험은 전혀 필요하지 않다.,
1,1,pre-,"미리, 이전에(before)",prescribe,(약을) 처방하다,Her doctor prescribed the medicine.,prescribe|prescription,low,What does prescribe mean?,(약을) 처방하다,etymology,3,DAY 01,1,"미리, 이전에(before)",pre(=before) + scribe(=write) -> 미리 써주다,그녀의 주치의는 그 약을 처방했다.,
1,1,pre-,"미리, 이전에(before)",present,"참석한, 현재의 v. 주다, 수여하다, 제시하다, 보여주다 n. 선물",There was a large crowd present in the auditorium.,present|presence|presentation,low,What does present mean?,"참석한, 현재의 v. 주다, 수여하다, 제시하다, 보여주다 n. 선물",etymology,4,DAY 01,1,"미리, 이전에(before)","pre(= before) + sent(= esse: be) → 앞에 있는, 가까이에 있는",강당에 많은 군중이 참석해 있었다.,
1,1,pre-,"미리, 이전에(before)",premature,"(너무) 이른, 시기상조의",Her premature death was due to a heart attack.,premature|prematurely|prematurity,low,What does premature mean?,"(너무) 이른, 시기상조의",etymology,5,DAY 01,1,"미리, 이전에(before)",pre(= before) + mature(= ripe) → 익기[성숙하기] 이전의,그녀의 요절[이른 사망]은 심장 발작 때문이었다.,
1,1,pre-,"미리, 이전에(before)",pretend,"~인 척하다, ~라고 가장하다",He pretended that nothing had happened.,pretend|pretense,low,What does pretend mean?,"~인 척하다, ~라고 가장하다",etymology,6,DAY 01,1,"미리, 이전에(before)","pre(= before) + tend(= stretch: 펼치다) → 앞에 (주장, 핑계 등을) 펼쳐 놓다",그는 아무 일도 없었던 것처럼 행동했다.,
1,1,pre-,"미리, 이전에(before)",prejudice,"편견, 선입견 v. 편견을 갖게 하다",He spent a lifetime fighting against racial prejudice.,prejudice|prejudiced,low,What does prejudice mean?,"편견, 선입견 v. 편견을 갖게 하다",etymology,7,DAY 01,1,"미리, 이전에(before)",pre(= before) + judice(= judgment) → 앞선 판단,그는 인종적 편견에 맞서 싸우는 데 평생을 보냈다.,bias|partiality|preconception
1,1,pre-,"미리, 이전에(before)",preview,"(영화, 쇼 등의) 시사회, 사전 검토 v. 시연을 보다[보이다]",I saw the movie at a special preview.,preview,low,What does preview mean?,"(영화, 쇼 등의) 시사회, 사전 검토 v. 시연을 보다[보이다]",etymology,8,DAY 01,1,"미리, 이전에(before)",pre(= before) + view(= see) → 미리 보다,나는 특별 시사회에서 그 영화를 보았다.,
1,1,pre-,"미리, 이전에(before)",preliminary,"예비의, 시초의, 준비의 n. 예비 행위, 예선전",The architect’ plans are still in the preliminary stages.,preliminary|preliminarily,low,What does preliminary mean?,"예비의, 시초의, 준비의 n. 예비 행위, 예선전",etymology,9,DAY 01,1,"미리, 이전에(before)",pre(= before) + limin(= threshold: 문지방) + ary(접사) → 문지방 앞에 놓인,그 건축가의 계획은 아직 예비[초기] 단계에 있다.,
1,1,pre-,"미리, 이전에(before)",prestige,"명망, 위신, 신망, 위세",His career as a lawyer has brought him enormous prestige.,prestige|prestigious,low,What does prestige mean?,"명망, 위신, 신망, 위세",etymology,10,DAY 01,1,"미리, 이전에(before)","pre(= before) + stige(= tie) → (우리의 마음을) 미리 붙들고 있는 힘, 권위",변호사로서의 그의 경력은 그에게 엄청난 명망을 가져다주었다.,
