source_order,section,grade,textbook,lesson,phrasal_verb,korean_meaning,example_sentence,chunk_type,difficulty,learning_tip,source_note
1,공통영어1,1,Common English 1,1,find out,알아내다,I’ll find out what I like to do.,verb + particle,basic,find out + what/why/how 구조로 자주 사용,L1 Listen/Understand
2,공통영어1,1,Common English 1,1,write down,적어 두다,Write down three things that you enjoy doing.,verb + particle,basic,생각을 기록할 때 쓰는 기본 구동사,L1 Speaking
3,공통영어1,1,Common English 1,1,think of,~을 생각하다; ~할 생각이다,I’m thinking of joining the school choir.,verb + prep,basic,be thinking of -ing 패턴으로 학습,L1 Communicative Function
4,공통영어1,1,Common English 1,1,lead to,~로 이어지다,Good habits can lead to a meaningful life.,verb + prep,mid,원인 → 결과 연결 표현,L1 Topic extension
5,공통영어1,1,Common English 1,1,relieve from,~에서 덜어 주다,Writing helped relieve my emotional tension.,verb + object,mid,relieve stress/tension 형태로 chunk 학습,L1 Language Structure
6,공통영어1,1,Common English 1,1,come to mind,마음에 떠오르다,Write down any thoughts that come to mind.,verb phrase,mid,생각·아이디어와 함께 자주 사용,L1 Reading/Word Power
7,공통영어1,1,Common English 1,1,combine with,~와 결합하다,Combine your new habit with an existing one.,verb + prep,mid,combine A with B 구조,L1 Further Reading
8,공통영어1,1,Common English 1,1,keep going,계속하다,Seeing progress helps you keep going.,verb phrase,basic,포기하지 않고 계속할 때 사용,L1 Further Reading
9,공통영어1,1,Common English 1,1,pick up,다시 시작하다; 집어 들다,Just pick up where you left off.,verb + particle,mid,pick up where you left off 통째로 학습,L1 Further Reading
10,공통영어1,1,Common English 1,2,live in harmony with,~와 조화롭게 살다,We should live in harmony with animals.,verb phrase,mid,환경·동물 주제 지문에서 유용,L2 Introduction
11,공통영어1,1,Common English 1,2,share with,~와 공유하다,Elephants share their feelings with each other.,verb + prep,basic,share A with B 구조,L2 Listening/Speaking
12,공통영어1,1,Common English 1,2,break up,부수다; 깨뜨리다,Killer whales break up the ice where seals hide.,verb + particle,mid,break up + object 구조,L2 Express Ideas
13,공통영어1,1,Common English 1,2,work together,함께 일하다,Killer whales hunt by working together.,verb phrase,basic,협력 행동을 표현하는 chunk,L2 Express Ideas
