order,grade,textbook,lesson,category,word,part_of_speech,meaning_in_context,korean_meaning,context_chunk,context_sentence,korean_translation,related_collocation,related_word,relation_meaning,difficulty,quiz_question,quiz_answer,note,source_file
1,1,Common English 1,1,다의어,enjoy,verb,즐기다; 누리다; 재미를 느끼다,즐기다; 누리다; 재미를 느끼다,enjoy doing,I enjoy attending my cooking class.,나는 요리 수업에 참여하는 것을 즐긴다.,enjoy + -ing,,,basic,What does 'enjoy' mean in this sentence?,즐기다,,grade1_common1_english_polysemy_context.csv
2,1,Common English 1,1,다의어,thinking,verb phrase,생각; 사고; 사고방식,생각; 사고; 사고방식,be thinking of,I’m thinking of joining the school choir.,나는 학교 합창단에 가입할 생각이다.,be thinking of + -ing,,,basic,What does 'thinking of' mean here?,~할 생각이다,,grade1_common1_english_polysemy_context.csv
3,1,Common English 1,1,다의어,share,verb,공유하다; 나누다; 함께 사용하다,공유하다; 나누다; 함께 사용하다,share similar interests,It’s fun to spend time with those who share similar interests.,비슷한 관심사를 공유하는 사람들과 시간을 보내는 것은 재미있다.,share interests,,,basic,What does 'share' mean here?,공유하다,,grade1_common1_english_polysemy_context.csv
4,1,Common English 1,1,다의어,flow,verb,흐르다; 이어지다; 자연스럽게 진행되다,흐르다; 이어지다; 자연스럽게 진행되다,thoughts flow freely,Free writing allows your thoughts to flow freely.,자유 글쓰기는 생각이 자유롭게 흐르도록 해 준다.,flow freely,,,mid,What does 'flow' mean here?,흐르다,,grade1_common1_english_polysemy_context.csv
5,1,Common English 1,1,다의어,inner,adjective,내면의; 안쪽의; 내부의,내면의; 안쪽의; 내부의,inner voice,Free writing aids in listening to your inner voice.,자유 글쓰기는 자신의 내면의 목소리를 듣는 데 도움을 준다.,inner voice,,,mid,What does 'inner' mean here?,내면의,,grade1_common1_english_polysemy_context.csv
6,1,Common English 1,1,다의어,enhance,verb,향상시키다; 관련 의미 확장; 문맥적 의미,향상시키다; 관련 의미 확장; 문맥적 의미,enhance skills,The class is designed to enhance your language skills.,그 수업은 언어 능력을 향상시키도록 설계되었다.,enhance skills,,,mid,What does 'enhance' mean here?,향상시키다,,grade1_common1_english_polysemy_context.csv
7,1,Common English 1,1,다의어,lead,verb,이끌다; 관련 의미 확장; 문맥적 의미,이끌다; 관련 의미 확장; 문맥적 의미,lead a meaningful life,What do you do to lead a meaningful life?,의미 있는 삶을 살기 위해 무엇을 하는가?,lead a life,,,mid,What does 'lead' mean here?,살다/이끌다,,grade1_common1_english_polysemy_context.csv
8,1,Common English 1,1,다의어,approach,verb,다가가다; 관련 의미 확장; 문맥적 의미,다가가다; 관련 의미 확장; 문맥적 의미,approach new people,I approach new people and lead the conversation.,나는 새로운 사람들에게 다가가 대화를 이끈다.,approach people,,,mid,What does 'approach' mean here?,다가가다,,grade1_common1_english_polysemy_context.csv
9,1,Common English 1,1,다의어,concern,noun,걱정; 고민; 관련 의미 확장; 문맥적 의미,걱정; 고민; 관련 의미 확장; 문맥적 의미,listen to concerns,"When I listen to my friend’s concerns, I try to understand how he or she feels.",친구의 고민을 들을 때 나는 그 감정을 이해하려고 한다.,listen to concerns,,,mid,What does 'concerns' mean here?,고민/걱정,,grade1_common1_english_polysemy_context.csv
10,1,Common English 1,1,다의어,prefer,verb,선호하다; 관련 의미 확장; 문맥적 의미,선호하다; 관련 의미 확장; 문맥적 의미,prefer to travel,I prefer to travel with a detailed plan.,나는 자세한 계획을 가지고 여행하는 것을 선호한다.,prefer to + verb,,,basic,What does 'prefer' mean here?,선호하다,,grade1_common1_english_polysemy_context.csv
11,1,Common English 1,1,다의어,relieve,verb,완화하다; 관련 의미 확장; 문맥적 의미,완화하다; 관련 의미 확장; 문맥적 의미,relieve emotional tension,Writing helped relieve my emotional tension.,글쓰기는 나의 정서적 긴장을 완화하는 데 도움이 되었다.,relieve tension,,,mid,What does 'relieve' mean here?,완화하다,,grade1_common1_english_polysemy_context.csv
12,1,Common English 1,1,다의어,reflective,adjective,성찰적인; 관련 의미 확장; 문맥적 의미,성찰적인; 관련 의미 확장; 문맥적 의미,reflective journal,Students write a reflective journal about their new routine.,학생들은 새로운 일상에 대해 성찰적인 일지를 쓴다.,reflective journal,,,mid,What does 'reflective' mean here?,성찰적인,,grade1_common1_english_polysemy_context.csv
13,1,Common English 1,2,다의어,communicate,verb,의사소통하다; 관련 의미 확장; 문맥적 의미,의사소통하다; 관련 의미 확장; 문맥적 의미,communicate with each other,How do elephants communicate with each other?,코끼리는 서로 어떻게 의사소통하는가?,communicate with,,,basic,What does 'communicate' mean here?,의사소통하다,,grade1_common1_english_polysemy_context.csv
14,1,Common English 1,2,다의어,touch,noun/verb,접촉; 만지다; 관련 의미 확장; 문맥적 의미,접촉; 만지다; 관련 의미 확장; 문맥적 의미,communicate through touch,Elephants communicate through touch.,코끼리는 접촉을 통해 의사소통한다.,through touch,,,basic,What does 'touch' mean here?,접촉,,grade1_common1_english_polysemy_context.csv
15,1,Common English 1,2,다의어,surprised,adjective,놀란; 관련 의미 확장; 문맥적 의미,놀란; 관련 의미 확장; 문맥적 의미,be surprised to know,I’m surprised to know that.,나는 그것을 알게 되어 놀랐다.,be surprised to,,,basic,What does 'surprised' mean here?,놀란,,grade1_common1_english_polysemy_context.csv
16,1,Common English 1,2,다의어,locate,verb,찾아내다; 관련 의미 확장; 문맥적 의미,찾아내다; 관련 의미 확장; 문맥적 의미,locate their prey,I’m curious about how they locate their prey.,나는 그들이 먹이를 어떻게 찾아내는지 궁금하다.,locate prey,,,mid,What does 'locate' mean here?,찾아내다,,grade1_common1_english_polysemy_context.csv
17,1,Common English 1,2,다의어,prey,noun,먹이; 관련 의미 확장; 문맥적 의미,먹이; 관련 의미 확장; 문맥적 의미,hunt prey,Killer whales locate their prey.,범고래는 먹이를 찾아낸다.,locate prey,,,mid,What does 'prey' mean here?,먹이,,grade1_common1_english_polysemy_context.csv
